P_S02_SerialNumber,P_S02_InvItemId
S23160523023000,2144
S24121523023000,328149
S23041523023000,2997
S24193523023000,328149
S24167523023000,328149
S24148523023000,328149
UPSHNKA21123000,494224
I223033000,8008
1.04E+14,14629
1.04E+14,8046
1.04E+14,7182
9910556337_33000,6005
4.45E+16,42174
4.45E+16,3282
9911843000,1279
1.93E+13,3771
1.93E+13,7797
48522073000,7982
48522073000,82194
00U0873000,1364
00u0873000,93586
SAS2108293000,8406
sas2108293000,5807
S20227523022957-4000,2144
AM35004000,6493
4.47E+16,6347
4.47E+16,3560
D7J212404000,3950
S20151522504000,3037
S20151522504000,8476
S23291522504000,3037
S23291522504000,8476
S23332522504000,3037
S23332522504000,8476
S19063522504000,6576
S23164522504000,3037
S23164522504000,5871
S23164522504000,8476
S23326522504000,3037
S23326522504000,8476
1.91E+13,7237
1.91E+13,6576
1.91E+13,3379
S23287522504000,3037
S23287522504000,8476
AHZLJ213804000,7782
ahzlj213804000,2944
ahzlj213804000,7782
5A1715E04000,1980
S21090522514000,3037
S21090522514000,3455
S22184522514000,3037
240814000,474151
7501252988_14000,5331
0305120420216-24000,5845
s21132523024000,8747
S23162523024000,2144
S21003523024000,2144
S21065523024000,2144
S23166523024000,2144
S23166523024000,324149
S24167523024000,328149
S24148523024000,328149
4.47E+16,6347
4.47E+16,3560
3.52E+14,1279
9910627670_34000,8046
00JC944000,1364
00jc944000,93586
4.47E+16,6347
4.47E+16,3560
4.47E+16,6347
4.47E+16,3560
1.93E+13,3771
3.52E+14,1279
376TAD4000,7882
379TXX4000,6346
99j210305000,4049
S23301522505000,249150
S20202522505000,3037
S20202522505000,8476
S20163522505000,7631
S22184522505000,3037
S23165522505000,3037
S23165522505000,5871
S19127522505000,7237
S19127522505000,5261
S19127522505000,6576
S23287522505000,3037
S23287522505000,8476
s21078522505000,3037
s21078522505000,8476
S5A2028E05000,3687
VND3F15000,2454
S22200523025000,2144
S15041523025000,4059
S20268522525000,3037
S20268522525000,8476
s20268522525000,3037
MXL1222W9W-35000,5633
MXL1222W9W-35000,363150
9909135000,1279
9911825937_35000,6287
S5A1945T45000,3169
1A2310PP165000,4909
s5a2031t75000,3169
379TXD5000,6346
379TXV5000,6346
S17271522506000,8403
S17271522506000,7237
S17271522506000,5151
S17271522506000,6576
s17271522506000,2209
s17271522506000,5053
S21162522506000,24121
S21162522506000,3037
S21162522506000,8476
S20013522506000,7237
S20013522506000,6576
S21114522506000,3037
S21114522506000,8476
S20164522506000,3037
S20164522506000,8476
S23165522506000,3037
S23165522506000,8476
2.01E+13,8403
2.01E+13,6576
s20106522506000,6576
S23326522506000,3037
S23326522506000,5354
D1J213606000,6619
S22174522516000,8476
240816000,474151
00J1026000,1364
00j1026000,93586
9912304901_36000,1279
3.52E+14,1279
379TXV6000,6346
S24197524207000,3037
S24197524207000,8476
US221307000,7850
2.02E+13,3037
2.02E+13,8476
S23163522507000,3037
S23163522507000,8476
S22176522507000,5354
S23329522507000,3037
S23329522507000,24044
S24190524217000,3037
S24190524217000,24086
2.11E+13,3037
2.11E+13,24087
s21096522517000,3037
s21096522517000,8476
S22159523027000,2144
21127000,4217
9908981101_27000,3990
7502037000,3053
23037000,4217
9915476693_37000,1279
UPSHNKZ24047000,494224
3.52E+14,1279
22057000,4217
2.00E+13,1956
1.06E+14,14629
1.06E+14,8046
1.06E+14,7182
4.05E+17,234151
SAS2048197000,7880
sas2048197000,5946
376TAP7000,7882
S24012524208000,3037
S24012524208000,5354
S24103524208000,3037
S24103524208000,8476
S21091522508000,8476
s21091522508000,3037
S19277522508000,6576
1A2317PP318000,4909
S20267522518000,8476
s20267522518000,3037
s20267522518000,5354
9909029201_28000,2997
s20161523070723_38000,4008
379TXX8000,6346
ZA1801009000,1980
S24190524209000,3037
S24190524209000,5354
S19237522509000,3037
S19237522509000,8476
s19237522509000,8476
D7J242509000,7269
S0H2410L09000,2668
9909119000,1279
240819000,474151
5CG04790WT-29000,2788
5cg04790wt-29000,13144
9909059483_29000,7797
22049000,4217
S17282522504364-59000,6576
15269b24af-59000,1455
379TXXA000,6346
867TVRD000,7882
42197014024100000-100,6514
42197017318100000-100,6514
42197014019100000-100,6514
94456585359200000-100,1036
44451117828310000-100,42174
44451117828310000-100,3282
404355007507120000-100,7426
404355007507120000-100,8600
404355007627120000-100,7426
404355007627120000-100,8600
404355007618120000-100,7426
404355007618120000-100,8600
94456585359120000-100,1036
44660417320150000-100,3647
44660417320150000-100,42171
44660417321150000-100,3647
44660417321150000-100,42171
44660417312150000-100,3647
44660417312150000-100,42171
44660917312150000-100,3647
44660417322150000-100,3647
44660417322150000-100,42171
44660417313150000-100,3647
44660417313150000-100,42171
44660417423150000-100,3647
44660417423150000-100,42171
44660417314150000-100,3647
44660417314150000-100,42171
44660417324150000-100,3647
