P_serialNumber,P_LocatorID,P_invItemId,P_subinventoryCode
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
4.04706E+17,647381,234151,Receiving
21135N004E,647446,6619,Liquidate
XXZLJ201305317,647446,6242,Liquidate
XXQVJ185100272,647446,2944,Liquidate
XXZLJ192702490,647446,2944,Liquidate
XXZLJ192709903,647446,2944,Liquidate
XXZLJ200105408,647446,2944,Liquidate
AHZLJ213403393,647446,2944,Liquidate
XXZLJ201304768,647446,2944,Liquidate
13190B0929,647446,1455,Liquidate
16210B0F28,647446,1455,Liquidate
16118B2CB8,647446,1455,Liquidate
16209B3952,647446,1455,Liquidate
18179B7A86,647446,1455,Liquidate
14134B0ADD,647446,1455,Liquidate
19270B4138,647446,1455,Liquidate
17175B0405,647446,1455,Liquidate
16146B2B66,647446,1455,Liquidate
19270B2F50,647446,1455,Liquidate
17174B4241,647446,1455,Liquidate
17294B1EFD,647446,1455,Liquidate
15268B3E0A,647446,1455,Liquidate
16363B04BF,647446,1455,Liquidate
21068N0B33,647446,8362,Liquidate
20359N04FA,647446,24078,Liquidate
22673N00A0,647446,24078,Liquidate
21207N0257,647446,24078,Liquidate
22672N0631,647446,24078,Liquidate
21025N00AC,647446,24078,Liquidate
20252N0AA2,647446,24078,Liquidate
20252N0AE1,647446,24078,Liquidate
XXQVJ193001181,647446,4778,Liquidate
XXQVJ182001798,647446,4778,Liquidate
XXQVJ184201272,647446,4778,Liquidate
XXQVJ194000216,647446,4778,Liquidate
14254B3B33,647446,2791,Liquidate
16166B4B13,647446,3291,Liquidate
15266B3601,647446,3291,Liquidate
22629N012D,647431,24078,Liquidate
22629N012E,647431,24078,Liquidate
22629N0183,647431,24078,Liquidate
5CG9415VXL,652443,2440,RMA PTS
5CG9096JPK,652443,2788,RMA PTS
5CG04807PV,652443,2788,RMA PTS
JW3620190025,654826,4840,INV RT PTS
JW3620190448,654826,4840,INV RT PTS
JW3620190720,654826,4840,INV RT PTS
JW3620220899,654832,4840,INV RT PTS
JW3620080261,654832,4840,INV RT PTS
JW3620080187,654832,4840,INV RT PTS
5CG1266DJV,654805,2440,Storage
5CG3265CR4,654805,235149,Storage
5CG3265CR6,654805,235149,Storage
5CG3272J8K,654805,235149,Storage
5CG3265CR5,654805,235149,Storage
5CG3265CR8,654805,235149,Storage
5CG3265CRF,654805,235149,Storage
5CG3272J8G,654805,235149,Storage
5CG3265CRC,654805,235149,Storage
5CG3265CRB,654805,235149,Storage
5CG3265CR7,654805,235149,Storage
5CG3272J8T,654805,235149,Storage
5CG3272J8P,654805,235149,Storage
5CG3272J8J,654805,235149,Storage
5CG3272J8N,654805,235149,Storage
5CG3265CRD,654805,235149,Storage
5CG3265CR9,654805,235149,Storage
5CG3272J8Y,654805,235149,Storage
5CG3272J8W,654805,235149,Storage
5CG3272J8F,654805,235149,Storage
CND1492Z1T,654805,1952,Storage
CND2150S4X,654805,1952,Storage
CND1492Z2B,654805,1952,Storage
R9WR70Z5SQV,654805,24069,Storage
R9WR70Z7J3A,654805,24069,Storage
JW3620100270,654824,4840,INV RT PTS
JW3620210098,654824,4840,INV RT PTS
JW3620101444,654824,4840,INV RT PTS
JW3620100083,654828,4840,INV RT PTS
JW3620190194,654828,4840,INV RT PTS
JW3620191079,654828,4840,INV RT PTS
JW3620210497,654825,4840,INV RT PTS
JW3620210370,654825,4840,INV RT PTS
JW3620141418,654825,4840,INV RT PTS
JW3620501937,654827,4840,INV RT PTS
JW3620190924,654827,4840,INV RT PTS
JW3620190217,654827,4840,INV RT PTS
CZ0220AN1271,654829,189165,INV RT PTS
CZ0220AN1084,654829,189165,INV RT PTS
JW3620100104,654833,4840,INV RT PTS
JW3620210168,654833,4840,INV RT PTS
JW3620190297,654833,4840,INV RT PTS
JW3620190218,654835,4840,INV RT PTS
JW3620190438,654835,4840,INV RT PTS
9909456525,656683,9769,Build
9911763507,656683,9769,Build
9915952359,656683,9769,Build
9909037544,656683,9769,Build
9911793095,656683,9769,Build
9909455035,656683,9769,Build
9909120245,656683,9769,Build
9909427180,656683,9769,Build
9911763767,656683,9769,Build
9911763771,656683,9769,Build
9908235434,656683,9769,Build
9909456524,656683,9769,Build
9911818933,656683,9769,Build
9910601700,656683,9769,Build
9911763852,656683,9769,Build
9911793159,656683,9769,Build
9911763558,656683,9769,Build
9911867113,656683,9769,Build
9910601405,656683,9769,Build
9910601402,656683,9769,Build
9910601782,656683,9769,Build
9911866752,656683,9769,Build
9909124753,656683,9769,Build
9911763758,656683,9769,Build
S22308523021712,656760,8747,Staging
9909124764,657081,9769,Build
9909125364,657081,9769,Build
9909125407,657081,9769,Build
9909124846,657081,9769,Build
9909456441,657081,9769,Build
9911762911,657081,9769,Build
9910601502,657081,9769,Build
9908235427,657081,9769,Build
9909459753,657081,9769,Build
9909427182,657081,9769,Build
9911763516,657081,9769,Build
9909456623,657081,9769,Build
9911793158,657081,9769,Build
9911793161,657081,9769,Build
9911835537,657081,9769,Build
9911793157,657081,9769,Build
9911793156,657081,9769,Build
9911763561,657081,9769,Build
9910601627,657081,9769,Build
9910601398,657081,9769,Build
9910601404,657081,9769,Build
9910601448,657081,9769,Build
9911866801,657081,9769,Build
9911763515,657081,9769,Build
D3N203801991,659466,1238,Staging
D3N211901394,659466,1238,Staging
D3N212500989,659466,1238,Staging
S24100524301147,666350,90511,Storage
S24100524300849,666350,90511,Storage
S19351521401454,666350,90511,Storage
S24100524301909,666350,90511,Storage
S24100524301874,666350,90511,Storage
S24100524301312,666350,90511,Storage
S24100524300546,666350,90511,Storage
S24100524301988,666350,90511,Storage
S24100524300944,666350,90511,Storage
S23255524300689,666350,90511,Storage
S23255524300160,666350,90511,Storage
S24187524202215,666082,8476,Pick
S24187524213121,666082,8476,Pick
S24190524216969,666082,8476,Pick
S24192524201918,666082,8476,Pick
S24192524201977,666082,8476,Pick
S24192524202112,666082,8476,Pick
S24192524202154,666082,8476,Pick
S24192524202162,666082,8476,Pick
S24192524202164,666082,8476,Pick
S24192524202196,666082,8476,Pick
S24192524202220,666082,8476,Pick
S24192524202261,666082,8476,Pick
S24192524202285,666082,8476,Pick
S24192524202295,666082,8476,Pick
S24192524202297,666082,8476,Pick
S24192524202462,666082,8476,Pick
S24193524200758,666082,8476,Pick
S24193524200799,666082,8476,Pick
S24193524200846,666082,8476,Pick
S24194524202829,666082,8476,Pick
S24193524200869,666082,8476,Pick
S24193524200902,666082,8476,Pick
S24193524201021,666082,8476,Pick
S24204524201327,666082,8476,Pick
S24205524200568,666082,8476,Pick
S24205524201054,666082,8476,Pick
S24192524201820,666082,8476,Pick
S24192524201915,666082,8476,Pick
S24193524200607,666082,8476,Pick
S24193524200680,666082,8476,Pick
S24193524200687,666082,8476,Pick
S24193524200702,666082,8476,Pick
S24193524200712,666082,8476,Pick
S24193524200773,666082,8476,Pick
S24193524200775,666082,8476,Pick
S24193524200794,666082,8476,Pick
S24193524200813,666082,8476,Pick
S24193524200815,666082,8476,Pick
S24193524200832,666082,8476,Pick
S24193524200867,666082,8476,Pick
S24190524217432,666082,8476,Pick
S24192524202188,666082,8476,Pick
S24192524202201,666082,8476,Pick
S24192524202246,666082,8476,Pick
S24192524202271,666082,8476,Pick
S24192524202274,666082,8476,Pick
S24192524202275,666082,8476,Pick
S24192524202290,666082,8476,Pick
S24192524202300,666082,8476,Pick
S24192524202363,666082,8476,Pick
S24192524202382,666082,8476,Pick
S24192524202389,666082,8476,Pick
S24192524202411,666082,8476,Pick
S24192524202422,666082,8476,Pick
S24192524202447,666082,8476,Pick
S24193524200503,666082,8476,Pick
S24193524200569,666082,8476,Pick
S24194524202789,666082,8476,Pick
S24194524202804,666082,8476,Pick
S24194524203116,666082,8476,Pick
99-012824M10365,666356,2829,Storage
99-012824M10737,666356,2829,Storage
99-012824M10741,666356,2829,Storage
23724N0262,666356,24078,Storage
M9LMTF170835,666356,6581,Storage
2008GTC008506A03347,666357,3551,Storage
MXL20373ZJ,666360,363150,Storage
MXL20373ZP,666360,363150,Storage
MXL20373ZH,666360,363150,Storage
MXL33332Q1,666360,363150,Storage
MXL13149Y6,666360,363150,Storage
MXL25216HW,666360,363150,Storage
MXL13149W3,666360,363150,Storage
MXL25216HR,666360,363150,Storage
MXL20373ZG,666360,363150,Storage
MXL25216HN,666360,363150,Storage
MXL25216HZ,666360,363150,Storage
MXL25216HQ,666360,363150,Storage
MXL25216J1,666360,363150,Storage
MXL25216HS,666360,363150,Storage
MXL25216HV,666360,363150,Storage
MXL13149Y9,666360,363150,Storage
MXL25216HY,666360,363150,Storage
MXL25216J2,666360,363150,Storage
MXL20373ZL,666360,363150,Storage
SJW3621040042,666363,4840,Storage
SJW3621040009,666363,4840,Storage
35CG146CY3Z,666136,4858,Pick
35CG146CYSN,666136,4858,Pick
35CG146CYD2,666136,4858,Pick
35CG146CY2H,666136,4858,Pick
S24190524209169,668199,5354,Pick
S24198524215507,668199,5354,Pick
S24195524201141,668199,5354,Pick
S24195524201763,668199,5354,Pick
D1J202902580,668217,7269,DECOM OB
D1N202800424,668217,7269,DECOM OB
D1J202903089,668218,7269,DECOM OB
D1J202902576,668218,7269,DECOM OB
5CG93722SR-70914,668224,2788,DECOM OB
5CG0388KCJ,668224,2788,DECOM OB
5CG04808WJ,668224,2788,DECOM OB
5CG0453PF1,668224,2788,DECOM OB
5CG0343RW2,668224,2788,DECOM OB
5CG0373VDY,668224,2788,DECOM OB
S24192524202345,668200,8476,Pick
S24192524202379,668200,8476,Pick
S24194524202920,668200,8476,Pick
S24194524203035,668200,8476,Pick
S24195524201552,668200,8476,Pick
S24197524206642,668200,8476,Pick
S24197524206856,668200,8476,Pick
S24198524200647,668200,8476,Pick
S24198524200650,668200,8476,Pick
S24198524200713,668200,8476,Pick
S24198524200793,668200,8476,Pick
S24198524200938,668200,8476,Pick
S24198524201034,668200,8476,Pick
S24198524201077,668200,8476,Pick
S24198524201151,668200,8476,Pick
S24198524215373,668200,8476,Pick
S24198524215392,668200,8476,Pick
S24198524215420,668200,8476,Pick
S24198524215526,668200,8476,Pick
S24198524215551,668200,8476,Pick
S24194524202660,668200,8476,Pick
S24197524206881,668200,8476,Pick
S24197524207025,668200,8476,Pick
S24197524207287,668200,8476,Pick
S24198524200754,668200,8476,Pick
S24198524200815,668200,8476,Pick
S24198524200878,668200,8476,Pick
S24198524201337,668200,8476,Pick
S24198524215378,668200,8476,Pick
S24198524215493,668200,8476,Pick
S24103524207621,668201,8476,Pick
S24195524201132,668201,8476,Pick
S24195524201206,668201,8476,Pick
